Year,CPUE1,CPUE2,CPUE3,CPUE4,CPUE5,CPUE6,CPUE7,CPUE8,CPUE9
1960,,2.656942669,,,,,,,
1961,,3.343338268,,,,,,,
1962,,3.65308003,,,,,,,
1963,,7.836408663,,,,,,57.12,
1964,,14.32588951,,,,,,74.18,
1965,,22.16206673,,,,,,95.41,
1966,,19.88857274,,,,,,93.72,
1967,,11.44227955,,,,,,38.21,
1968,,12.36872897,,,,,,,
1969,,11.12755428,,,,,,,
1970,,7.785102811,,,,,,,
1971,,9.200121337,,,,,,,
1972,,8.638921267,,,,,,,
1973,,10.56576576,,,,,,72.44,
1974,,8.237891347,,,,,,49.48,
1975,,10.37722211,,,,,,47.2,
1976,,8.339697325,,,,,,49.08,
1977,,10.71416011,,,,,,72.99,
1978,,7.840949778,,,,,,38.98,
1979,,,,,,,,30.02,
1980,,,,,,,,27.85,
1981,,,,,,,,,
1982,,,28.72922901,,,,,,
1983,,,,,,,,,
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,16.77,,21.81,,
1989,,,,,15.23,,22.44,,
1990,,,,,15.54,29.2,28.92,,
1991,,,,,13.55,30.9,21.85,,
1992,,,4.37702935,,9.91,28.5,10.88,,
1993,,,,2.228305851,8.54,20.6,10.47,,
1994,,,,,8.09,17.7,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,19.48175972,2.738004745,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,,,,9.153279244,,,,,
2007,,,,,,,,,
2008,,,27.50603481,,,,,,
2009,,,,,,,,,
2010,,,37.513529,,,,,,
2011,,,14.30142612,,,,,,
2012,40.2828619,,,4.105405275,,,,,
2013,30.46589018,,,,,,,,
2014,52.09650582,,84.32722467,,,,,,
2015,6.256239601,,,,,,,,
2016,49.51747088,,54.59765817,,,,,,
2017,,,,5.665404,,,,,
2018,,,35,,,,,,
2019,,,,,,,,,1.54
2020,,,,,,,,,1.23
2021,,,,,,,,,2.67
2022,,,,,,,,,2.55
2023,,,,,,,,,
